J, B, T, O, m, chi, E0, E1, E2, E3, p0, p1, p2, p3, boundary 
, 00.5903225806451613, 2.5806451612903225, 0.0, 0.6155464405431108, 0.6620720320014849, 0.3537139232146629, -2.7381017050163394, -1.1729294733729037, 2.0676162855684685, 3.6327885172119037, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 2.7419354838709675, 0.0, 0.5773119762765087, 0.7195590366655962, 0.35881226089395046, -2.8495126023014015, -1.2974862730406087, 2.084478641882814, 3.636504971143611, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 2.903225806451613, 0.0, 0.5282427717338603, 0.7778179226124367, 0.3633338132484731, -2.970259021150479, -1.430239435475457, 2.0891348927364386, 3.629154478411457, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 3.064516129032258, 0.0, 0.4648191130150566, 0.8367634925522004, 0.3673799893240987, -3.100458583742932, -1.571452108542261, 2.081624957986706, 3.610631433187381, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 3.225806451612903, 0.0, 0.37980325331940357, 0.8963275965879524, 0.371005698155383, -3.2402162685231803, -1.7213687197260932, 2.0619860559256136, 3.580833604722705, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 3.3870967741935485, 0.0, 0.25212425064013205, 0.9564427500216788, 0.3213844505764064, -3.3896261656312827, -1.8801675030878224, 2.030266789722018, 3.5397254522654755, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 3.5483870967741935, 0.0, -2.068756676278927e-07, 0.9999999999996964, 0.1350274749289053, -3.548387096774176, -1.9999999999991143, 2.000000000000259, 3.5483870967753277, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 3.7096774193548385, 0.0, 1.4333029861708863e-06, 0.999999999998745, -1.3422596367718143e-13, -3.7096774193545503, -1.9999999999957683, 2.000000000001474, 3.7096774193602458, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 3.870967741935484, 0.0, -2.522599832623351e-07, 0.999999999999653, -2.117466202378182e-11, -3.8709677419353286, -1.999999999998664, 2.0000000000005334, 3.8709677419371964, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 4.032258064516129, 0.0, 4.627884721152345e-06, 0.9999999999919145, 6.742273406246114e-13, -4.0322580645104615, -1.9999999999648146, 2.0000000000156177, 4.03225806456126, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 4.193548387096774, 0.0, 5.96239890163241e-07, 0.9999999999998705, 2.4912338858484872e-11, -4.1935483870966515, -1.9999999999993676, 2.000000000000305, 4.1935483870975805, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 4.354838709677419, 0.0, 4.120242997753356e-07, 0.9999999999999507, 3.125055769714891e-13, -4.354838709677355, -1.9999999999997307, 2.0000000000001372, 4.354838709677763, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 4.516129032258064, 0.0, 9.385086887058738e-08, 0.9999999999999714, 1.5143442055887135e-13, -4.516129032258016, -1.9999999999998286, 2.000000000000096, 4.5161290322582825, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 4.67741935483871, 0.0, 4.7047219407155024e-08, 0.9999999999999996, -5.509734890551954e-11, -4.6774193548387055, -1.9999999999999925, 2.000000000000002, 4.677419354838714, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 4.838709677419355, 0.0, 9.369246541235735e-06, 0.999999999982198, -1.2940759575030826e-13, -4.83870967737671, -1.9999999998711404, 2.000000000078432, 4.838709677584003, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 5.0, 0.0, 3.9138045476341873e-07, 0.9999999999999578, 1.1011072054145644e-10, -4.9999999999998845, -1.9999999999996707, 2.000000000000209, 5.000000000000419, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 0.0, 0.0, 0.6412563515606524, 0.0, 0.1587745306414599, -2.0705525391248645, 0.5358988253301195, 0.5358993824145926, 3.142350746869578, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 0.16129032258064516, 0.0, 0.6435131384351881, 0.0256087952647516, 0.16168267474817094, -2.07261122796867, 0.41619192333429317, 0.6631635629421256, 3.1519667142450882, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 0.3225806451612903, 0.0, 0.6499204079586458, 0.05215570153166804, 0.1698878025250829, -2.078864209325278, 0.3051082284376476, 0.795847905879754, 3.1798203436426853, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 0.4838709677419355, 0.0, 0.659534244328156, 0.08041131220832673, 0.1820493546319246, -2.0895280600063018, 0.202580105557839, 0.9311883425348779, 3.2232965080990192, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 0.6451612903225806, 0.0, 0.6710711753043082, 0.11088129980003081, 0.19652163605181783, -2.1049229033448005, 0.10753944178641034, 1.066240913175058, 3.2787032583062676, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 0.8064516129032258, 0.0, 0.6832297198832026, 0.14380538835407441, 0.21183029815565885, -2.125428548970777, 0.01835897124302605, 1.1983400703906797, 3.3421275906044787, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 0.967741935483871, 0.0, 0.6948586297068691, 0.17921365404379172, 0.22690184732549548, -2.151445571070612, -0.0668123443636617, 1.3252815067661656, 3.4099147334731215, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 1.129032258064516, 0.0, 0.7050217100463931, 0.21699953265262134, 0.24108480774451976, -2.18336739551594, -0.1498047962032277, 1.4453561968565873, 3.478918796169304, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 1.2903225806451613, 0.0, 0.7129903473414116, 0.25698294686460454, 0.25406200909585563, -2.2215636260467675, -0.23229263181132345, 1.557295955053176, 3.546566949288621, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 1.4516129032258065, 0.0, 0.7182086564443345, 0.29895501945773606, 0.26573565484926753, -2.266372039204753, -0.3157252315978178, 1.6601946791681603, 3.6108414867750946, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 1.6129032258064515, 0.0, 0.7202360437494795, 0.3427041258482392, 0.27613481087100444, -2.3180962353177454, -0.40134103078021366, 1.7534116328526455, 3.670166837390184, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 1.7741935483870968, 0.0, 0.7186979046844615, 0.38803076489999555, 0.28535334085989567, -2.377006532027859, -0.49019466151640506, 1.8364964550127034, 3.723308325524154, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 1.935483870967742, 0.0, 0.7132652132470289, 0.43475359064175395, 0.2935104243099662, -2.443342476538913, -0.5831320947952505, 1.9091572227245943, 3.7693676044682585, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 2.096774193548387, 0.0, 0.703591208882974, 0.4827115469354685, 0.30073011735109706, -2.517315996947254, -0.6808879296955803, 1.9711872719138483, 3.8076153391655274, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 2.258064516129032, 0.0, 0.6892920835378635, 0.5317633059163014, 0.30712597529744295, -2.599114649738735, -0.7840686235966223, 2.0224552357056713, 3.8375012618477826, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 2.4193548387096775, 0.0, 0.6699070643407729, 0.5817844421927082, 0.31281569242787455, -2.68890469004461, -0.8931722312327971, 2.0628837914966263, 3.858616250308438, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 2.5806451612903225, 0.0, 0.6448205360249005, 0.6326715937962609, 0.31788736534895695, -2.7868338459155804, -1.008666381307582, 2.0924120817369936, 3.8705795463449926, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 2.7419354838709675, 0.0, 0.6132251422308518, 0.6843287535955975, 0.3224129189370211, -2.893033761441255, -1.1308861150607659, 2.1110294074857787, 3.873177053866265, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 2.903225806451613, 0.0, 0.5739370278608292, 0.7366757611953, 0.3264749797445475, -3.007622117349897, -1.2601523395475474, 2.1187271758553314, 3.866196953657685, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 3.064516129032258, 0.0, 0.5251335651337551, 0.7896432631906128, 0.3301295656789989, -3.1307044558385284, -1.39674058283524, 2.115509392751668, 3.8494732657549546, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 3.225806451612903, 0.0, 0.46373208498278823, 0.843169169478848, 0.3334293575950445, -3.2623757445220933, -1.540880568202891, 2.101391332355311, 3.8228865086745136, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 3.3870967741935485, 0.0, 0.38363611550559756, 0.8972011204793369, 0.3364178419880314, -3.402721714456234, -1.692781537117233, 2.07639040372738, 3.78633058106638, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 3.5483870967741935, 0.0, 0.26850575144709865, 0.9516910539911162, 0.3186765137784681, -3.5518200049433104, -1.8526176116719058, 2.040530623146209, 3.739733016417617, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 3.7096774193548385, 0.0, 8.040343148988868e-05, 0.9999999958917459, 0.14975773256340663, -3.709677419274607, -1.9999999870280836, 2.000000003940453, 3.7096774361869813, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 3.870967741935484, 0.0, 6.215936225688291e-06, 0.9999999999793119, 1.2734540999481681e-08, -3.870967741931373, -1.9999999999256126, 2.0000000000265064, 3.8709677420322683, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 4.032258064516129, 0.0, 8.507035288900184e-07, 0.9999999999996624, -2.8620072978213785e-11, -4.0322580645159904, -1.9999999999986302, 2.0000000000005502, 4.032258064517913, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 4.193548387096774, 0.0, 8.678575376487585e-06, 0.9999999999700796, -7.052025630116532e-13, -4.193548387077594, -1.9999999998641802, 2.000000000060494, 4.193548387273903, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 4.354838709677419, 0.0, 1.2734355580706078e-06, 0.9999999999994349, 9.244073284619958e-11, -4.3548387096769074, -1.9999999999971505, 2.0000000000013767, 4.354838709681136, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 4.516129032258064, 0.0, 5.481703421214936e-07, 0.9999999999998992, 1.5098700067994742e-12, -4.516129032257946, -1.999999999999439, 2.00000000000029, 4.516129032258796, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 4.67741935483871, 0.0, -1.7898950456478158e-07, 0.999999999999922, 2.2474244687487043e-13, -4.677419354838584, -1.9999999999995208, 2.000000000000263, 4.677419354839335, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 4.838709677419355, 0.0, 2.68862593524893e-07, 0.9999999999999717, -4.884104232161235e-12, -4.838709677419304, -1.9999999999998115, 2.0000000000001106, 4.838709677419606, 1.0, 0.0, 0.0, 0.0
, 00.6516129032258065, 5.0, 0.0, 2.7201941951276445e-06, 0.9999999999983464, -1.0076584011642354e-11, -4.999999999996337, -1.9999999999879572, 2.0000000000072546, 5.000000000015636, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 0.0, 0.0, 0.7128094730610347, 0.0, 0.1787181805339642, -2.127163917676198, 0.7244482802502468, 0.7244486645201851, 3.5760608624466306, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 0.16129032258064516, 0.0, 0.7138645140393421, 0.028825512989349066, 0.18029151584321945, -2.1294850576925874, 0.6136493404212643, 0.8395398507198448, 3.582674248833697, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 0.3225806451612903, 0.0, 0.716880579548265, 0.05815855349781272, 0.18480674351165366, -2.1364898764625266, 0.5078926234197839, 0.9576019074022115, 3.601984407284521, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 0.4838709677419355, 0.0, 0.7214408507137863, 0.0884405915414954, 0.19171770922304585, -2.1482970965165293, 0.4072864483975811, 1.076912198549622, 3.632495743463732, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 0.6451612903225806, 0.0, 0.7269588208404697, 0.12000297582782751, 0.20029587844582195, -2.1650881613804964, 0.3113888314832687, 1.1956005505907004, 3.6720775434544692, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 0.8064516129032258, 0.0, 0.7327635349682334, 0.15305216523369602, 0.20980640135751336, -2.187087886668172, 0.21932234109879145, 1.3118295298380922, 3.7182397576050574, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 0.967741935483871, 0.0, 0.7382071991362247, 0.18768246013670278, 0.21962521923477618, -2.214545035908614, 0.1300068321879705, 1.4239792454551616, 3.7685311135517474, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 1.129032258064516, 0.0, 0.7426800724670807, 0.22389901014813995, 0.22929256415883653, -2.247716015982499, 0.04222163800355324, 1.5306530135936003, 3.8205906675796535, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 1.2903225806451613, 0.0, 0.7456661657029124, 0.2616478034137468, 0.23851287132123636, -2.2868529663363297, -0.04519917531097831, 1.6307473660074212, 3.8724011570327717, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 1.4516129032258065, 0.0, 0.7467213342443874, 0.3008386460582162, 0.2471186584182687, -2.332196094287153, -0.13335475518984463, 1.7233934387317973, 3.922234777829103, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 1.6129032258064515, 0.0, 0.7454701773138667, 0.34136349967770446, 0.2550371214048496, -2.3839694209324955, -0.2232202126729434, 1.8079350325881125, 3.9686842408476695, 1.0, 0.0, 0.0, 0.0
