J, B, T, O, m, chi, E0, E1, E2, p0, p1, p2 
0.22666666666666666, 0.23809523809523808, 0.0, -7.239446613041964e-06, 7.093868555552705e-13, 2.9936107070358135e-12, -1.9999999999549152, 0.7619047619286567, 1.238095238201482, 1.0, 0.0, 0.0
0.22666666666666666, 0.31746031746031744, 0.0, -6.385082729646136e-06, 9.178871519790411e-13, 2.7883437644630227e-12, -1.999999999956743, 0.6825396825728653, 1.3174603175522481, 1.0, 0.0, 0.0
0.22666666666666666, 0.3968253968253968, 0.0, -6.543952224694858e-06, 1.1519811038827344e-12, 3.8475452386750514e-12, -1.9999999999572011, 0.60317460321367, 1.3968253969104327, 1.0, 0.0, 0.0
0.22666666666666666, 0.47619047619047616, 0.0, -7.176968400141639e-06, 1.5286086184353984e-12, 4.7724591270269725e-12, -1.9999999999535223, 0.5238095238566212, 1.4761904762785771, 1.0, 0.0, 0.0
0.22666666666666666, 0.5555555555555556, 0.0, -6.6979505075295135e-06, 1.9095142986489205e-12, 7.0862330477160525e-12, -1.9999999999512987, 0.44444444449745985, 1.5555555556447513, 1.0, 0.0, 0.0
0.22666666666666666, 0.6349206349206349, 0.0, -7.502868269466015e-06, 2.653407514898264e-12, 7.926276890475345e-12, -1.9999999999422622, 0.36507936514568046, 1.6349206350236867, 1.0, 0.0, 0.0
0.22666666666666666, 0.7142857142857142, 0.0, -7.459995179052461e-06, 3.167653487613261e-12, 6.3235478090697995e-12, -1.9999999999404847, 0.28571428578563646, 1.7142857143898744, 1.0, 0.0, 0.0
0.22666666666666666, 0.7936507936507936, 0.0, -7.63892013326407e-06, 3.657145262369661e-12, 1.1765370423773752e-11, -1.9999999999401579, 0.2063492064235764, 1.7936507937539596, 1.0, 0.0, 0.0
0.22666666666666666, 0.873015873015873, 0.0, -8.567157437267309e-06, 5.035172602497983e-12, 1.8287055907152433e-11, -1.9999999999278228, 0.1269841270767122, 1.8730158731389068, 1.0, 0.0, 0.0
0.22666666666666666, 0.9523809523809523, 0.0, -9.089450558827093e-06, 6.559852549219253e-12, 1.6526181373427782e-11, -1.999999999917299, 0.04761904772824071, 1.9523809525207687, 1.0, 0.0, 0.0
