J, B, T, Ox, Oy, p1, p2, p3, p4, m, chi
0.40173228346456696, 0.0, 0.1, -3.367468002601195e-08, -2.1614333047753154e-07, 0.999999995877692, 2.0611536139414025e-09, 2.0611536139410154e-09, 4.248354237775968e-18, 1.430281409285467e-18, 9.689081725946099e-08
0.40173228346456696, 0.1, 0.1, 1.1249294130694261e-07, 5.2660595773421646e-08, 0.999999993638948, 5.602796401897009e-09, 7.58256037967813e-10, 4.248354228266741e-18, 4.844540864403331e-09, 9.689081725946099e-08
0.41740157480314966, 0.0, 0.1, 3.209037734734285e-07, -1.0845157154677933e-08, 0.9999999958776872, 2.061153613940457e-09, 2.061153613940257e-09, 4.248354237772462e-18, 1.2447479928749388e-17, 9.689081957854535e-08
0.41740157480314966, 0.1, 0.1, 1.0029739263927142e-07, -8.86418113239291e-08, 0.9999999936389549, 5.602796401896893e-09, 7.582560379678001e-10, 4.248354228266544e-18, 4.844540991374748e-09, 9.689081957854535e-08
0.4330708661417323, 0.0, 0.1, 3.547746499495477e-06, -4.10589666229863e-08, 0.9999999958776943, 2.061153613751708e-09, 2.0611536137426984e-09, 4.248354236976191e-18, 1.2447360711343604e-17, 9.690682776731104e-08
0.4330708661417323, 0.1, 0.1, 4.609438983321735e-06, 4.1214723633875786e-08, 0.9999999936389387, 5.602796400957403e-09, 7.582560378527618e-10, 4.2483542269097186e-18, 4.8453414008129136e-09, 9.690682776731104e-08
0.448740157480315, 0.0, 0.1, -6.869884757002948e-08, -3.565542808491864e-07, 0.9999999958776989, 2.0611536139404777e-09, 2.061153613938851e-09, 4.2483542377695676e-18, 1.430281409285467e-18, 9.689082732180936e-08
0.448740157480315, 0.1, 0.1, -7.309685574156412e-09, -1.572943590627489e-07, 0.999999993638949, 5.60279640189643e-09, 7.582560379677425e-10, 4.24835422826593e-18, 4.84454136752075e-09, 9.689082732180936e-08
0.4644094488188977, 0.0, 0.1, 2.209635219320265e-06, 5.131416486737854e-08, 0.9999999958777048, 2.061153613859033e-09, 2.0611536138509685e-09, 4.248354237420548e-18, 1.2447360711343604e-17, 9.690285051420158e-08
0.4644094488188977, 0.1, 0.1, 3.7268100288399136e-06, -3.658197715115828e-08, 0.9999999936389512, 5.60279640119084e-09, 7.582560378813452e-10, 4.2483542272468326e-18, 4.84514253815744e-09, 9.690285051420158e-08
0.4800787401574803, 0.0, 0.1, 8.309643185756789e-07, -6.377269095464074e-08, 0.9999999958776885, 2.0611536139306653e-09, 2.0611536139266378e-09, 4.248354237724154e-18, 1.2447440120682409e-17, 9.689507542455598e-08
0.4800787401574803, 0.1, 0.1, 2.137641552169174e-06, -1.9328307097583186e-07, 0.9999999936389546, 5.602796401647143e-09, 7.58256037937219e-10, 4.2483542279058465e-18, 4.84475378367524e-09, 9.689507542455598e-08
0.495748031496063, 0.0, 0.1, 3.9350043389310436e-05, -2.0913365970247082e-08, 0.9999999958776884, 2.0611535826002454e-09, 2.061153582533546e-09, 4.248354108441415e-18, 1.2447996089451621e-17, 4.197678608311244e-07
0.495748031496063, 0.1, 0.1, 0.0005716639033310029, 3.2874263461738415e-07, 0.9999999936389686, 5.6027774547371624e-09, 7.582537179595164e-10, 4.2483268629779506e-18, 2.098839305400422e-08, 4.197678608311244e-07
0.5114173228346457, 0.0, 0.1, 0.2101429938872164, -3.283052711518731e-08, 0.99999999738926, 1.3053661755028686e-09, 1.3053658070443624e-09, 1.7039803756223603e-18, 6.938893955606017e-18, 0.047395234627004464
0.5114173228346457, 0.1, 0.1, 0.2204134727045516, -2.1787154500184883e-07, 0.9999999962246648, 3.305479274552611e-09, 4.698514098106562e-10, 1.5530841031118579e-18, 0.00236976173135023, 0.047395234627004464
0.5270866141732283, 0.0, 0.1, 0.31644655861448645, -1.2729753006182805e-07, 0.9999999986049286, 6.97533301735755e-10, 6.975321169037992e-10, 4.865518812494118e-19, 1.2924697059103995e-26, 0.09841697843084453
0.5270866141732283, 0.1, 0.1, 0.32238658439071033, -1.3263378347559608e-07, 0.9999999980175593, 1.7230214803514067e-09, 2.594135555602628e-10, 4.4697512941076815e-19, 0.0049208489215422264, 0.09841697843084453
0.5427559055118111, 0.0, 0.1, 0.3890324090298214, -2.9519620298960266e-08, 0.999999999254591, 3.7270152792939007e-10, 3.727013420839053e-10, 1.3890635975954722e-19, 1.3877787814276805e-17, 0.14221627203523562
0.5427559055118111, 0.1, 0.1, 0.39319643413156513, 1.3812830993945867e-08, 0.9999999989579013, 8.991743285423116e-10, 1.4292531048152775e-10, 1.2851477021785438e-19, 0.0071108136017617955, 0.14221627203523562
0.5584251968503937, 0.0, 0.1, 0.44531458924393463, 2.8869998858386262e-08, 0.999999999601731, 1.991375229349446e-10, 1.9913740856252407e-10, 3.965573028061902e-20, 2.7755575615628914e-17, 0.17984683004174815
0.5584251968503937, 0.1, 0.1, 0.4484446617759588, 3.2872622473428695e-08, 0.9999999994516389, 4.697631688985039e-10, 7.859738227121131e-11, 3.692215538309803e-20, 0.008992341502087435, 0.17984683004174815
0.5740944881889765, 0.0, 0.1, 0.4913981466578933, 0.0, 0.9999999997871997, 1.0640016871948726e-10, 1.0640016871948693e-10, 1.1320995905944445e-20, 2.775557561886009e-17, 0.21219260216601923
0.5740944881889765, 0.1, 0.1, 0.4938355287653739, -7.234341047926125e-08, 0.9999999997111682, 2.456836204686154e-10, 4.314912646679968e-11, 1.0601033613483622e-20, 0.01060963010830099, 0.21219260216601923
